employee_id,review_period,overall_score,strengths,growth_areas,reviewer_id
e001,2024-H2,4,"Strong technical execution on the eval pipeline rewrite. Mentors junior engineers effectively and writes clear design docs.","Could take more initiative on cross-team coordination. Sometimes goes deep on solo work when a quick sync would unblock others faster.",e005
e001,2025-H1,5,"Owned the agent-orchestration framework end-to-end and shipped it under a tight deadline. Has become the go-to for agent design questions across the org. Excellent technical writing and mentorship.","Stretch goal: start representing the team in cross-functional planning forums.",e005
e002,2024-H2,5,"Operates at staff scope effortlessly. The inference router redesign saved ~30% infra spend. Strong influence beyond the immediate team.","More delegation — occasionally takes on work that an IC4 could grow into.",e009
e002,2025-H1,5,"Continues to deliver staff-level impact. Drove the GPU scheduling overhaul. Mentoring two ICs toward IC4. Frequently consulted by other teams' leads.","Could publish or speak externally to grow the team's brand.",e009
e003,2024-H2,4,"Clear product judgment. The Platform v2 launch hit all key metrics. Good partnership with engineering leads.","Roadmap communication to non-Platform stakeholders is inconsistent — some teams felt surprised by Q3 priorities.",e009
e003,2025-H1,4,"Solid quarter. Defined the platform metric framework adopted across product. Strong customer empathy in user research synthesis.","Still working on proactive stakeholder communication. Improving but not yet consistent.",e009
e004,2024-H2,3,"Reliable closing on senior IC roles. Good candidate experience scores.","Sourcing pipeline for ML research roles has been thin. Needs to expand network beyond traditional channels.",e009
e004,2025-H1,4,"Closed three difficult senior hires this cycle. Built a strong relationship with the research org. Pipeline health has visibly improved.","Continue expanding research-recruiting network. Document the new sourcing playbook.",e009
e005,2024-H2,4,"Team velocity is consistently high. Strong 1:1 cadence and reports report feeling supported. Shipped the agents team's first production launch.","Could push back more on scope creep from PM partners. Tends to absorb extra work rather than re-negotiate.",e009
e005,2025-H1,5,"Outstanding cycle. Team shipped two major launches. Promoted one report from IC3 to IC4. Now sought after as a mentor for new EMs across the org.","Begin preparing for senior EM scope — take on at least one cross-org program.",e009
e006,2024-H2,4,"Excellent research depth on multi-agent RL. One paper accepted at NeurIPS workshops. Generally collaborative with the agents engineering team.","Translation of research into production-ready guidance has been slow. Engineering team often waits weeks for follow-up.",e009
e006,2025-H1,3,"Research output continued but engagement with the rest of the org has dropped this cycle. Several meetings missed; engineering follow-ups frequently unanswered.","Significant: engagement and collaboration must improve. Need a clear plan for cross-team responsiveness. Will revisit at mid-cycle check-in.",e009
e007,2024-H2,4,"Excellent visual craft on the new agent-builder interface. Strong design rationale in critiques. Established the team's first design system component library.","More involvement upstream in product discovery — sometimes engaged too late to shape direction.",e009
e007,2025-H1,4,"Continued strong execution. Led the redesign of the prompt-debug surface, which got positive customer feedback. Now embedded earlier in product discovery cycles.","Push to grow into design lead scope — start owning a sub-area's design strategy end-to-end.",e009
e008,2024-H2,4,"Strong analytical work on the experimentation platform. Causal inference framework is now used by three product teams.","Documentation lags behind shipped work. New teams adopting the framework hit avoidable friction.",e009
e008,2025-H1,5,"Top cycle. The experimentation platform launched org-wide and is now standard tooling. Influenced two product launches with rigorous measurement. Documentation gap fully closed.","Ready for staff scope. Should start identifying a multi-quarter strategic problem to own.",e009
e009,2024-H2,5,"Org delivered consistently. The platform/ML split was well-executed and team health is strong. Successful hiring against an aggressive plan.","Continue investing in second-line management depth — currently one layer thin in a couple of areas.",e009
e009,2025-H1,5,"Another strong cycle. Org-level metrics are healthy and attrition is below benchmark. Successfully sponsored two IC → manager transitions.","Begin scoping a possible VP-level reorg proposal for next year.",e009
e010,2024-H2,3,"Quick ramp for a recent hire. Picked up the codebase fast and shipped two well-scoped tickets in first quarter.","Still building familiarity with the API surface. Code review feedback cycles are long — needs to reduce iteration count.",e005
e010,2025-H1,4,"Strong growth. Took ownership of the rate-limiting subsystem and shipped it cleanly. Code review iteration count down significantly. Started pairing with junior interns.","Stretch into a small design effort — own a feature from RFC through launch in the next cycle.",e005
